team_clean,season_start,records_count,avg_off_rating,avg_def_rating,avg_net_rating,avg_true_shooting_pct,avg_effective_fg_pct
Sacramento Kings,2012,7,102.74,99.31,3.44,0.521,0.4636
San Antonio Spurs,2012,27,106.88,100.09,6.77,0.5507,0.5132
Toronto Raptors,2012,6,106.43,97.78,8.65,0.554,0.5088
Utah Jazz,2012,8,102.06,93.88,8.21,0.5301,0.4851
Washington Wizards,2012,8,101.84,105.4,-3.55,0.5028,0.4585
Atlanta Hawks,2013,14,95.33,100.66,-5.36,0.5128,0.4621
Boston Celtics,2013,8,99.36,99.94,-0.57,0.5145,0.4675
Brooklyn Nets,2013,19,105.85,103.02,2.83,0.5542,0.5127
Charlotte Hornets,2013,12,98.09,97.58,0.51,0.5108,0.4644
Chicago Bulls,2013,13,101.32,96.79,4.55,0.5248,0.4705
Cleveland Cavaliers,2013,8,93.98,98.86,-4.9,0.4929,0.435
Dallas Mavericks,2013,15,100.88,102.63,-1.76,0.5163,0.4838
Denver Nuggets,2013,7,89.37,96.3,-6.89,0.469,0.4307
Detroit Pistons,2013,7,96.99,99.61,-2.63,0.5347,0.4866
Golden State Warriors,2013,14,100.25,102.8,-2.54,0.5231,0.4879
Houston Rockets,2013,13,110.98,105.13,5.86,0.5556,0.5138
Indiana Pacers,2013,27,101.61,102.34,-0.72,0.5338,0.4903
Los Angeles Clippers,2013,21,108.4,105.55,2.84,0.5497,0.5063
Los Angeles Lakers,2013,8,94.67,97.72,-3.1,0.5186,0.4634
Memphis Grizzlies,2013,14,95.7,102.96,-7.26,0.4838,0.4372
Miami Heat,2013,28,108.36,106.75,1.62,0.5798,0.5431
Milwaukee Bucks,2013,6,94.72,101.58,-6.88,0.5223,0.476
Minnesota Timberwolves,2013,6,105.55,97.4,8.17,0.5323,0.476
New Orleans Pelicans,2013,8,103.03,96.96,6.09,0.5694,0.5199
New York Knicks,2013,7,99.11,105.91,-6.76,0.4994,0.4636
Oklahoma City Thunder,2013,25,104.43,105.07,-0.65,0.5464,0.4921
Orlando Magic,2013,8,98.46,104.64,-6.16,0.5194,0.4854
Philadelphia 76ers,2013,6,90.98,104.12,-13.15,0.4837,0.4383
Phoenix Suns,2013,6,98.82,95.13,3.7,0.5122,0.4948
Portland Trail Blazers,2013,18,102.85,104.99,-2.15,0.5255,0.4759
Sacramento Kings,2013,7,102.19,96.2,6.0,0.5377,0.4947
San Antonio Spurs,2013,29,110.59,103.57,7.02,0.579,0.5415
Toronto Raptors,2013,14,105.26,102.87,2.38,0.5624,0.4969
Utah Jazz,2013,8,92.86,100.6,-7.72,0.4816,0.4441
Washington Wizards,2013,18,98.62,97.04,1.55,0.5039,0.4647
Atlanta Hawks,2014,23,102.32,101.78,0.54,0.5303,0.4907
Boston Celtics,2014,12,99.66,98.25,1.39,0.5237,0.4781
Brooklyn Nets,2014,11,99.54,102.25,-2.7,0.5282,0.4871
Charlotte Hornets,2014,8,96.71,100.29,-3.58,0.497,0.4465
Chicago Bulls,2014,20,103.09,100.76,2.34,0.5218,0.4733
Cleveland Cavaliers,2014,26,107.84,103.78,4.06,0.5351,0.4903
Dallas Mavericks,2014,13,106.74,106.42,0.3,0.5447,0.504
Denver Nuggets,2014,8,98.74,103.34,-4.61,0.521,0.478
Detroit Pistons,2014,7,100.11,96.29,3.84,0.5286,0.4904
Golden State Warriors,2014,29,108.04,98.75,9.29,0.5678,0.5378
Houston Rockets,2014,25,103.88,104.82,-0.92,0.5332,0.4935
Indiana Pacers,2014,7,98.63,100.43,-1.81,0.534,0.4839
Los Angeles Clippers,2014,22,104.65,107.14,-2.51,0.5406,0.5051
Los Angeles Lakers,2014,8,96.85,107.17,-10.31,0.504,0.4597
Memphis Grizzlies,2014,18,100.85,103.82,-2.98,0.5098,0.4605
Miami Heat,2014,8,105.29,106.1,-0.8,0.5709,0.523
Milwaukee Bucks,2014,13,95.35,102.6,-7.25,0.4945,0.4532
Minnesota Timberwolves,2014,7,107.06,100.04,7.03,0.5399,0.4899
New Orleans Pelicans,2014,11,103.2,100.72,2.51,0.5443,0.4965
New York Knicks,2014,7,96.71,99.26,-2.51,0.514,0.4684
Oklahoma City Thunder,2014,7,99.77,111.6,-11.83,0.52,0.4696
Orlando Magic,2014,7,95.5,97.64,-2.14,0.5066,0.4763
Philadelphia 76ers,2014,8,92.65,97.66,-5.03,0.5105,0.4669
Phoenix Suns,2014,6,103.25,95.72,7.53,0.5515,0.503
Portland Trail Blazers,2014,11,99.47,102.77,-3.3,0.5265,0.4769
Sacramento Kings,2014,6,103.7,106.43,-2.7,0.5628,0.5073
San Antonio Spurs,2014,12,105.06,107.81,-2.75,0.5492,0.5064
Toronto Raptors,2014,11,100.45,102.81,-2.37,0.5267,0.4857
Utah Jazz,2014,8,103.1,94.69,8.41,0.5605,0.5185
Washington Wizards,2014,17,100.64,99.49,1.13,0.5296,0.4881
Atlanta Hawks,2015,17,99.32,100.39,-1.07,0.5304,0.4844
Boston Celtics,2015,11,96.34,97.2,-0.88,0.4909,0.4553
Brooklyn Nets,2015,5,98.14,98.54,-0.4,0.5318,0.465
Charlotte Hornets,2015,15,99.99,99.32,0.68,0.5157,0.4589
Chicago Bulls,2015,8,103.53,107.4,-3.88,0.5129,0.4743
Cleveland Cavaliers,2015,28,109.73,104.49,5.25,0.5623,0.5286
Dallas Mavericks,2015,12,94.19,107.92,-13.73,0.4927,0.4472
Denver Nuggets,2015,7,100.46,97.43,3.0,0.5186,0.4797
Detroit Pistons,2015,12,107.45,106.52,0.95,0.5562,0.522
Golden State Warriors,2015,31,108.25,104.99,3.26,0.5598,0.5248
Houston Rockets,2015,13,98.76,106.77,-8.03,0.4954,0.4598
Indiana Pacers,2015,14,104.22,100.97,3.24,0.5376,0.4839
Los Angeles Clippers,2015,12,98.28,100.25,-2.0,0.514,0.4828
Los Angeles Lakers,2015,7,101.56,108.57,-7.03,0.5167,0.4649
Memphis Grizzlies,2015,10,92.0,96.72,-4.69,0.4809,0.4358
Miami Heat,2015,22,101.83,99.88,1.96,0.5273,0.4838
Milwaukee Bucks,2015,6,102.28,105.48,-3.23,0.5398,0.4962
Minnesota Timberwolves,2015,7,99.63,109.71,-10.09,0.5367,0.4746
New Orleans Pelicans,2015,7,99.91,103.56,-3.64,0.516,0.4521
New York Knicks,2015,5,96.04,94.86,1.16,0.5084,0.4706
Oklahoma City Thunder,2015,23,110.3,104.5,5.8,0.5551,0.5135
Orlando Magic,2015,7,102.59,100.44,2.14,0.5177,0.4803
Philadelphia 76ers,2015,7,90.3,98.21,-7.9,0.4944,0.4483
Phoenix Suns,2015,6,99.3,95.9,3.43,0.5178,0.4858
Portland Trail Blazers,2015,18,103.97,104.71,-0.74,0.5259,0.4884
Sacramento Kings,2015,6,99.5,95.9,3.62,0.5327,0.4853
San Antonio Spurs,2015,16,104.7,99.23,5.47,0.5464,0.5044
Toronto Raptors,2015,27,101.85,103.7,-1.86,0.5094,0.4637
Utah Jazz,2015,7,98.99,98.4,0.6,0.5223,0.4693
Washington Wizards,2015,6,104.17,101.35,2.85,0.5467,0.501
Atlanta Hawks,2016,13,102.99,100.05,2.95,0.5305,0.487
Boston Celtics,2016,25,108.2,108.66,-0.46,0.561,0.5279
Brooklyn Nets,2016,6,96.7,106.52,-9.83,0.5378,0.4902
Charlotte Hornets,2016,7,91.16,98.0,-6.86,0.4769,0.4174
Chicago Bulls,2016,13,103.14,104.86,-1.71,0.5345,0.4875
Cleveland Cavaliers,2016,24,115.39,110.33,5.06,0.5996,0.5622
Dallas Mavericks,2016,7,96.23,105.44,-9.23,0.4937,0.4547
Denver Nuggets,2016,8,101.54,100.56,0.98,0.5259,0.4753
Detroit Pistons,2016,6,98.33,94.25,4.08,0.525,0.4885
Golden State Warriors,2016,24,114.85,102.82,12.04,0.6033,0.5625
Houston Rockets,2016,17,109.79,107.45,2.34,0.5598,0.5142
Indiana Pacers,2016,10,108.47,109.14,-0.68,0.547,0.5152
Los Angeles Clippers,2016,13,101.2,106.25,-5.03,0.5439,0.5021
Los Angeles Lakers,2016,8,101.54,103.39,-1.85,0.536,0.5056
Memphis Grizzlies,2016,12,106.02,108.41,-2.41,0.5432,0.4946
Miami Heat,2016,8,104.73,98.95,5.74,0.5596,0.5345
Milwaukee Bucks,2016,12,98.9,102.48,-3.59,0.5143,0.4753
Minnesota Timberwolves,2016,7,98.47,93.11,5.39,0.5217,0.4643
New Orleans Pelicans,2016,6,102.6,107.68,-5.05,0.5492,0.5015
New York Knicks,2016,6,106.95,103.95,3.02,0.5492,0.5208
Oklahoma City Thunder,2016,9,103.21,107.61,-4.39,0.5311,0.497
Orlando Magic,2016,7,98.2,105.96,-7.76,0.5269,0.4867
Philadelphia 76ers,2016,7,93.49,103.11,-9.63,0.5051,0.4427
Phoenix Suns,2016,6,97.82,96.55,1.27,0.5027,0.446
Portland Trail Blazers,2016,10,100.61,108.4,-7.81,0.5235,0.4806
Sacramento Kings,2016,5,101.46,103.48,-2.04,0.5784,0.5346
San Antonio Spurs,2016,22,109.3,106.56,2.75,0.5485,0.5069
Toronto Raptors,2016,16,103.39,107.31,-3.92,0.5393,0.4914
Utah Jazz,2016,16,103.94,105.7,-1.77,0.5541,0.5116
Washington Wizards,2016,20,107.91,105.67,2.24,0.5442,0.5046
Atlanta Hawks,2017,5,91.06,94.86,-3.84,0.5176,0.4714
Boston Celtics,2017,23,106.09,103.64,2.44,0.5403,0.5001
Brooklyn Nets,2017,4,99.67,90.55,9.13,0.5683,0.5335
Charlotte Hornets,2017,5,98.36,99.3,-0.96,0.5262,0.4936
Chicago Bulls,2017,6,95.0,101.58,-6.58,0.5455,0.5227
Cleveland Cavaliers,2017,27,105.55,108.96,-3.41,0.5479,0.5116
Dallas Mavericks,2017,6,99.63,95.4,4.25,0.546,0.524
Denver Nuggets,2017,4,96.22,99.4,-3.17,0.5363,0.5018
Detroit Pistons,2017,5,102.24,102.72,-0.44,0.5398,0.5112
Golden State Warriors,2017,24,112.58,102.4,10.18,0.5856,0.552
Houston Rockets,2017,21,107.19,104.48,2.71,0.5593,0.5221
Indiana Pacers,2017,10,107.82,101.84,5.98,0.5647,0.5376
Los Angeles Clippers,2017,5,94.08,95.48,-1.4,0.5682,0.517
Los Angeles Lakers,2017,5,90.18,92.22,-2.02,0.5412,0.5058
Memphis Grizzlies,2017,5,95.48,87.62,7.86,0.5282,0.4854
Miami Heat,2017,11,96.48,104.01,-7.52,0.5304,0.4978
Milwaukee Bucks,2017,11,104.49,106.71,-2.24,0.5772,0.5491
Minnesota Timberwolves,2017,7,106.1,113.99,-7.87,0.5576,0.5136
New Orleans Pelicans,2017,13,102.43,106.36,-3.93,0.557,0.5197
New York Knicks,2017,5,92.24,106.14,-13.9,0.519,0.4762
Oklahoma City Thunder,2017,9,99.61,100.96,-1.34,0.5347,0.5
Orlando Magic,2017,6,95.22,92.93,2.33,0.5172,0.4917
Philadelphia 76ers,2017,15,104.77,102.13,2.66,0.5412,0.5011
Phoenix Suns,2017,4,94.85,102.47,-7.63,0.5595,0.5
Portland Trail Blazers,2017,9,104.04,102.41,1.61,0.5448,0.5084
Sacramento Kings,2017,6,91.98,101.75,-9.78,0.5085,0.4755
San Antonio Spurs,2017,10,104.07,104.47,-0.42,0.5611,0.5183
Toronto Raptors,2017,15,108.07,109.52,-1.44,0.5803,0.5376
Utah Jazz,2017,14,103.54,103.04,0.5,0.5516,0.5199
Washington Wizards,2017,10,106.83,106.17,0.64,0.5644,0.5218
Atlanta Hawks,2018,5,102.36,105.72,-3.34,0.5652,0.5352
Boston Celtics,2018,11,101.05,103.51,-2.45,0.5338,0.4846
Brooklyn Nets,2018,9,103.11,110.82,-7.73,0.5343,0.4887
Charlotte Hornets,2018,3,110.13,103.53,6.63,0.615,0.578
Chicago Bulls,2018,4,91.98,99.65,-7.67,0.4795,0.4495
Cleveland Cavaliers,2018,4,106.7,109.25,-2.55,0.5395,0.4895
Dallas Mavericks,2018,3,107.77,110.6,-2.87,0.581,0.539
Denver Nuggets,2018,17,110.88,108.89,2.0,0.5396,0.4978
Detroit Pistons,2018,9,100.97,112.19,-11.21,0.4937,0.4638
Golden State Warriors,2018,26,113.0,110.63,2.38,0.5842,0.5437
Houston Rockets,2018,15,110.51,105.79,4.73,0.5797,0.5406
Indiana Pacers,2018,8,96.79,101.2,-4.39,0.5025,0.4666
Los Angeles Clippers,2018,9,109.82,110.69,-0.9,0.5621,0.5134
Los Angeles Lakers,2018,5,100.2,98.96,1.26,0.5714,0.5202
Memphis Grizzlies,2018,5,99.64,106.38,-6.78,0.5654,0.5118
Miami Heat,2018,5,104.94,105.12,-0.18,0.5564,0.5118
Milwaukee Bucks,2018,19,111.74,101.43,10.3,0.5683,0.5334
Minnesota Timberwolves,2018,4,98.1,115.55,-17.43,0.5172,0.4417
New Orleans Pelicans,2018,4,98.65,109.07,-10.42,0.534,0.5082
New York Knicks,2018,5,98.76,100.02,-1.24,0.5326,0.4776
Oklahoma City Thunder,2018,9,103.36,103.67,-0.32,0.5267,0.4818
Orlando Magic,2018,9,95.18,104.77,-9.58,0.4931,0.4588
Philadelphia 76ers,2018,15,109.19,106.49,2.71,0.5647,0.52
Phoenix Suns,2018,4,101.1,113.3,-12.23,0.5297,0.4878
Portland Trail Blazers,2018,20,110.6,109.17,1.43,0.5544,0.5124
Sacramento Kings,2018,5,99.88,113.3,-13.42,0.5056,0.4608
San Antonio Spurs,2018,11,110.22,109.36,0.85,0.5514,0.5094
Toronto Raptors,2018,27,109.13,103.18,5.95,0.5609,0.5165
Utah Jazz,2018,8,103.84,102.2,1.65,0.5489,0.5064
Washington Wizards,2018,4,104.25,98.47,5.78,0.5617,0.5202
Atlanta Hawks,2019,5,91.2,105.58,-14.4,0.4978,0.464
Boston Celtics,2019,4,108.17,84.58,23.6,0.5777,0.5577
Brooklyn Nets,2019,3,97.93,97.8,0.13,0.556,0.526
Charlotte Hornets,2019,5,97.64,100.48,-2.86,0.546,0.5038
Chicago Bulls,2019,5,101.62,100.04,1.6,0.5126,0.4826
Cleveland Cavaliers,2019,3,88.07,111.9,-23.8,0.4973,0.4577
