team_clean,season_start,records_count,avg_off_rating,avg_def_rating,avg_net_rating,avg_true_shooting_pct,avg_effective_fg_pct
Memphis Grizzlies,2022,11,104.07,105.76,-1.7,0.5276,0.4835
Miami Heat,2022,30,112.74,109.92,2.82,0.5654,0.5273
Milwaukee Bucks,2022,10,108.66,116.75,-8.1,0.5633,0.5321
Minnesota Timberwolves,2022,12,107.63,107.45,0.17,0.5705,0.5321
New Orleans Pelicans,2022,6,108.87,107.45,1.42,0.5578,0.5123
New York Knicks,2022,15,108.59,105.56,3.04,0.5387,0.4959
Oklahoma City Thunder,2022,6,107.98,106.27,1.72,0.5582,0.5123
Orlando Magic,2022,5,103.94,102.6,1.36,0.557,0.5154
Philadelphia 76ers,2022,15,109.89,108.65,1.27,0.5503,0.506
Phoenix Suns,2022,14,113.81,115.41,-1.59,0.5769,0.5331
Portland Trail Blazers,2022,4,97.27,118.63,-21.38,0.5252,0.4652
Sacramento Kings,2022,11,110.18,102.35,7.85,0.5429,0.5095
San Antonio Spurs,2022,5,97.84,107.88,-10.04,0.5212,0.4832
Toronto Raptors,2022,6,105.32,104.8,0.5,0.5165,0.4825
Utah Jazz,2022,4,97.17,104.72,-7.55,0.4985,0.4743
Washington Wizards,2022,3,101.1,107.53,-6.43,0.507,0.4617
Atlanta Hawks,2023,6,104.98,109.82,-4.83,0.5622,0.525
Boston Celtics,2023,24,116.68,107.51,9.17,0.5872,0.5533
Brooklyn Nets,2023,3,110.23,111.9,-1.67,0.6033,0.5553
Charlotte Hornets,2023,4,97.4,104.97,-7.58,0.511,0.4698
Chicago Bulls,2023,7,107.49,111.41,-3.93,0.5373,0.5079
Cleveland Cavaliers,2023,15,103.75,109.65,-5.91,0.5418,0.5127
Dallas Mavericks,2023,25,111.56,109.68,1.86,0.5624,0.5325
Denver Nuggets,2023,17,110.26,110.53,-0.28,0.5632,0.5302
Detroit Pistons,2023,4,108.35,109.65,-1.35,0.5797,0.5473
Golden State Warriors,2023,6,109.0,110.97,-1.97,0.583,0.546
Houston Rockets,2023,5,104.62,94.9,9.74,0.542,0.4932
Indiana Pacers,2023,21,117.14,116.84,0.3,0.588,0.564
Los Angeles Clippers,2023,10,106.18,110.36,-4.19,0.5376,0.4972
Los Angeles Lakers,2023,12,106.1,110.78,-4.67,0.5649,0.5336
Memphis Grizzlies,2023,5,107.08,109.08,-1.96,0.5574,0.5248
Miami Heat,2023,12,105.95,112.18,-6.22,0.5511,0.5181
Milwaukee Bucks,2023,11,110.59,112.51,-1.93,0.555,0.5202
Minnesota Timberwolves,2023,20,113.87,108.92,4.97,0.5792,0.5429
New Orleans Pelicans,2023,10,97.97,107.74,-9.78,0.5185,0.4885
New York Knicks,2023,17,116.35,120.59,-4.22,0.5611,0.5246
Oklahoma City Thunder,2023,15,111.74,106.55,5.21,0.57,0.5363
Orlando Magic,2023,10,105.33,100.93,4.42,0.5323,0.4894
Philadelphia 76ers,2023,11,114.01,113.81,0.18,0.5675,0.5261
Phoenix Suns,2023,9,112.16,113.64,-1.49,0.5883,0.5359
Portland Trail Blazers,2023,3,110.47,119.77,-9.3,0.57,0.5483
Sacramento Kings,2023,7,106.33,106.14,0.2,0.5344,0.5044
San Antonio Spurs,2023,5,108.62,104.3,4.3,0.5622,0.534
Toronto Raptors,2023,3,111.07,94.3,16.77,0.6033,0.558
Utah Jazz,2023,4,109.23,108.45,0.78,0.5723,0.5353
Washington Wizards,2023,3,103.07,104.6,-1.53,0.5277,0.4783
Atlanta Hawks,2024,6,102.7,112.48,-9.78,0.5238,0.4927
Boston Celtics,2024,16,116.67,107.01,9.65,0.5757,0.5384
Brooklyn Nets,2024,4,109.5,108.1,1.4,0.5548,0.5188
Charlotte Hornets,2024,5,106.06,103.3,2.78,0.5658,0.54
Chicago Bulls,2024,6,105.42,108.1,-2.67,0.5385,0.505
Cleveland Cavaliers,2024,13,116.82,110.81,6.02,0.5818,0.5365
Dallas Mavericks,2024,6,107.1,106.18,0.92,0.5687,0.5327
Denver Nuggets,2024,19,108.23,115.17,-6.93,0.5552,0.5174
Detroit Pistons,2024,11,107.39,103.89,3.51,0.5557,0.5133
Golden State Warriors,2024,19,110.75,107.13,3.63,0.5665,0.5321
Houston Rockets,2024,11,111.82,108.68,3.15,0.5561,0.5227
Indiana Pacers,2024,27,114.85,112.54,2.31,0.6007,0.564
Los Angeles Clippers,2024,12,110.86,106.46,4.39,0.5763,0.5473
Los Angeles Lakers,2024,11,103.85,114.54,-10.69,0.5385,0.4995
Memphis Grizzlies,2024,11,106.17,114.38,-8.23,0.5566,0.5153
Miami Heat,2024,11,107.12,115.54,-8.43,0.5618,0.5393
Milwaukee Bucks,2024,9,103.52,114.5,-10.99,0.5377,0.5101
Minnesota Timberwolves,2024,20,113.67,110.56,3.12,0.5738,0.5408
New Orleans Pelicans,2024,3,97.73,103.8,-6.07,0.5227,0.4837
New York Knicks,2024,23,111.87,110.92,0.95,0.5571,0.514
Oklahoma City Thunder,2024,27,113.37,105.06,8.31,0.566,0.5259
Orlando Magic,2024,9,106.07,109.91,-3.83,0.5289,0.4931
Philadelphia 76ers,2024,5,102.16,110.1,-7.96,0.5278,0.4852
Phoenix Suns,2024,5,105.1,106.54,-1.46,0.5524,0.5264
Portland Trail Blazers,2024,3,105.43,87.97,17.47,0.528,0.491
Sacramento Kings,2024,6,101.85,113.35,-11.52,0.513,0.4813
San Antonio Spurs,2024,5,108.36,111.46,-3.14,0.5766,0.551
Toronto Raptors,2024,5,111.08,108.48,2.64,0.5626,0.5356
Utah Jazz,2024,5,105.46,110.42,-4.94,0.5822,0.5252
Washington Wizards,2024,5,98.92,113.66,-14.74,0.5516,0.5194
Atlanta Hawks,2025,57,113.18,114.19,-1.01,0.5805,0.5503
Boston Celtics,2025,56,119.9,111.64,8.25,0.5819,0.5521
Brooklyn Nets,2025,54,110.67,117.59,-6.92,0.5665,0.5283
Charlotte Hornets,2025,57,116.69,114.66,2.03,0.5862,0.5484
Chicago Bulls,2025,57,113.5,116.79,-3.29,0.5861,0.5536
Cleveland Cavaliers,2025,56,116.23,112.97,3.25,0.5847,0.5526
Dallas Mavericks,2025,55,110.32,111.85,-1.54,0.5673,0.5315
Denver Nuggets,2025,57,119.68,116.07,3.61,0.6125,0.5723
Detroit Pistons,2025,55,116.26,108.59,7.68,0.5825,0.5468
Golden State Warriors,2025,57,114.05,111.74,2.31,0.5906,0.5553
Houston Rockets,2025,54,117.81,112.38,5.42,0.5742,0.5394
Indiana Pacers,2025,56,108.74,116.2,-7.46,0.5586,0.521
Los Angeles Clippers,2025,55,115.75,115.19,0.55,0.6029,0.5595
Los Angeles Lakers,2025,56,115.34,116.46,-1.12,0.6013,0.5625
Memphis Grizzlies,2025,55,113.14,115.94,-2.79,0.5698,0.5315
Miami Heat,2025,59,112.35,112.08,0.27,0.567,0.5286
Milwaukee Bucks,2025,54,112.71,115.85,-3.15,0.5932,0.5684
Minnesota Timberwolves,2025,59,116.65,112.22,4.44,0.5962,0.5629
New Orleans Pelicans,2025,58,112.59,117.81,-5.22,0.5643,0.5239
New York Knicks,2025,57,117.39,112.49,4.9,0.5806,0.5471
Oklahoma City Thunder,2025,58,116.56,105.69,10.86,0.6,0.5604
Orlando Magic,2025,54,114.3,114.0,0.29,0.5747,0.5295
Philadelphia 76ers,2025,55,114.37,113.57,0.8,0.5724,0.5286
Phoenix Suns,2025,56,114.37,111.63,2.74,0.575,0.5426
Portland Trail Blazers,2025,56,112.94,115.41,-2.47,0.5666,0.527
Sacramento Kings,2025,57,110.18,119.57,-9.4,0.5632,0.5265
San Antonio Spurs,2025,56,116.69,110.45,6.24,0.59,0.5515
Toronto Raptors,2025,59,113.28,111.82,1.47,0.5702,0.535
Utah Jazz,2025,56,114.02,122.12,-8.09,0.5837,0.5425
Washington Wizards,2025,53,109.49,119.33,-9.84,0.5619,0.5278
