team_clean,season_start,records_count,avg_efg_pct,avg_fta_rate,avg_oreb_pct,avg_turnover_pct,avg_opp_efg_pct
Philadelphia 76ers,2021,16,0.5487,0.2862,0.268,0.1602,0.5266
Phoenix Suns,2021,17,0.5554,0.2192,0.2651,0.1459,0.5235
Portland Trail Blazers,2021,4,0.4632,0.266,0.217,0.2213,0.5453
Sacramento Kings,2021,4,0.5245,0.2027,0.2365,0.126,0.4985
San Antonio Spurs,2021,6,0.5125,0.2022,0.2822,0.1418,0.4933
Toronto Raptors,2021,11,0.5148,0.2269,0.2935,0.1367,0.5609
Utah Jazz,2021,10,0.5045,0.2745,0.2514,0.1324,0.5339
Washington Wizards,2021,4,0.5072,0.34,0.21,0.1313,0.542
Atlanta Hawks,2022,11,0.5315,0.2254,0.2778,0.1253,0.5603
Boston Celtics,2022,24,0.5631,0.2425,0.2648,0.1356,0.5136
Brooklyn Nets,2022,8,0.5115,0.282,0.1999,0.1685,0.5079
Charlotte Hornets,2022,5,0.4424,0.2812,0.2956,0.1604,0.5532
Chicago Bulls,2022,6,0.5685,0.2512,0.2547,0.1622,0.493
Cleveland Cavaliers,2022,9,0.5128,0.2641,0.2612,0.1629,0.4854
Dallas Mavericks,2022,3,0.53,0.285,0.166,0.164,0.4837
Denver Nuggets,2022,25,0.5539,0.2801,0.2941,0.1308,0.5264
Detroit Pistons,2022,4,0.4708,0.2765,0.2677,0.187,0.543
Golden State Warriors,2022,17,0.5309,0.2319,0.3048,0.1482,0.5098
Houston Rockets,2022,4,0.5648,0.273,0.3707,0.1925,0.475
Indiana Pacers,2022,4,0.5165,0.2762,0.2935,0.1515,0.4825
Los Angeles Clippers,2022,8,0.5295,0.3154,0.2686,0.1509,0.5571
Los Angeles Lakers,2022,23,0.5098,0.3123,0.2483,0.1388,0.5129
Memphis Grizzlies,2022,11,0.4835,0.2973,0.2849,0.151,0.5161
Miami Heat,2022,30,0.5273,0.2427,0.2722,0.1261,0.5273
Milwaukee Bucks,2022,10,0.5321,0.2582,0.2929,0.1649,0.5928
Minnesota Timberwolves,2022,12,0.5321,0.2963,0.2148,0.1461,0.5092
New Orleans Pelicans,2022,6,0.5123,0.3238,0.2925,0.1485,0.509
New York Knicks,2022,15,0.4959,0.3043,0.3371,0.1507,0.4999
Oklahoma City Thunder,2022,6,0.5123,0.3227,0.2867,0.1623,0.5132
Orlando Magic,2022,5,0.5154,0.2646,0.265,0.1864,0.5134
Philadelphia 76ers,2022,15,0.506,0.2248,0.2965,0.1327,0.5341
Phoenix Suns,2022,14,0.5331,0.2923,0.2816,0.1319,0.5353
Portland Trail Blazers,2022,4,0.4652,0.421,0.2695,0.187,0.5662
Sacramento Kings,2022,11,0.5095,0.2702,0.3414,0.1442,0.4901
San Antonio Spurs,2022,5,0.4832,0.3032,0.2506,0.1766,0.5276
Toronto Raptors,2022,6,0.4825,0.3523,0.3372,0.1422,0.5102
Utah Jazz,2022,4,0.4743,0.2665,0.325,0.1908,0.5378
Washington Wizards,2022,3,0.4617,0.2623,0.289,0.141,0.5057
Atlanta Hawks,2023,6,0.525,0.2705,0.2803,0.185,0.5745
Boston Celtics,2023,24,0.5533,0.2358,0.2862,0.1305,0.5231
Brooklyn Nets,2023,3,0.5553,0.348,0.2503,0.1967,0.5247
Charlotte Hornets,2023,4,0.4698,0.2887,0.2642,0.1767,0.4895
Chicago Bulls,2023,7,0.5079,0.1767,0.3184,0.1486,0.5619
Cleveland Cavaliers,2023,15,0.5127,0.2111,0.2239,0.1413,0.5177
Dallas Mavericks,2023,25,0.5325,0.2727,0.2928,0.1369,0.5136
Denver Nuggets,2023,17,0.5302,0.2191,0.2595,0.1384,0.5367
Detroit Pistons,2023,4,0.5473,0.314,0.265,0.167,0.5192
Golden State Warriors,2023,6,0.546,0.2925,0.29,0.1702,0.5338
Houston Rockets,2023,5,0.4932,0.3396,0.2984,0.1546,0.4848
Indiana Pacers,2023,21,0.564,0.1997,0.2981,0.135,0.5373
Los Angeles Clippers,2023,10,0.4972,0.2601,0.3015,0.1496,0.5151
Los Angeles Lakers,2023,12,0.5336,0.2667,0.21,0.1375,0.5313
Memphis Grizzlies,2023,5,0.5248,0.2458,0.258,0.1534,0.5208
Miami Heat,2023,12,0.5181,0.2006,0.2537,0.1533,0.5333
Milwaukee Bucks,2023,11,0.5202,0.2388,0.275,0.1369,0.5419
Minnesota Timberwolves,2023,20,0.5429,0.2727,0.3008,0.1419,0.5299
New Orleans Pelicans,2023,10,0.4885,0.2015,0.2807,0.1882,0.5366
New York Knicks,2023,17,0.5246,0.2855,0.3446,0.1277,0.5705
Oklahoma City Thunder,2023,15,0.5363,0.2505,0.2533,0.1233,0.5213
Orlando Magic,2023,10,0.4894,0.2865,0.2955,0.151,0.4979
Philadelphia 76ers,2023,11,0.5261,0.2667,0.3051,0.1363,0.5225
Phoenix Suns,2023,9,0.5359,0.3592,0.2692,0.1656,0.5434
Portland Trail Blazers,2023,3,0.5483,0.2277,0.333,0.1757,0.587
Sacramento Kings,2023,7,0.5044,0.2116,0.2699,0.1389,0.5411
San Antonio Spurs,2023,5,0.534,0.3008,0.2778,0.1558,0.4736
Toronto Raptors,2023,3,0.558,0.3973,0.3257,0.2043,0.4533
Utah Jazz,2023,4,0.5353,0.3297,0.3182,0.1755,0.4987
Washington Wizards,2023,3,0.4783,0.257,0.2173,0.1227,0.505
Atlanta Hawks,2024,6,0.4927,0.2228,0.2745,0.1565,0.5612
Boston Celtics,2024,16,0.5384,0.259,0.31,0.1357,0.4929
Brooklyn Nets,2024,4,0.5188,0.3035,0.3105,0.153,0.537
Charlotte Hornets,2024,5,0.54,0.2266,0.3268,0.2092,0.4994
Chicago Bulls,2024,6,0.505,0.228,0.248,0.1495,0.5082
Cleveland Cavaliers,2024,13,0.5365,0.3205,0.3001,0.1309,0.5548
Dallas Mavericks,2024,6,0.5327,0.2662,0.2505,0.1667,0.5167
Denver Nuggets,2024,19,0.5174,0.3039,0.3236,0.1696,0.5454
Detroit Pistons,2024,11,0.5133,0.2802,0.3026,0.1677,0.5055
Golden State Warriors,2024,19,0.5321,0.2484,0.3016,0.1567,0.512
Houston Rockets,2024,11,0.5227,0.3358,0.3565,0.1532,0.507
Indiana Pacers,2024,27,0.564,0.2941,0.2637,0.1468,0.524
Los Angeles Clippers,2024,12,0.5473,0.2687,0.2721,0.1514,0.5102
Los Angeles Lakers,2024,11,0.4995,0.2431,0.2725,0.1633,0.536
Memphis Grizzlies,2024,11,0.5153,0.2715,0.3333,0.1875,0.5458
Miami Heat,2024,11,0.5393,0.2197,0.2742,0.1591,0.5592
Milwaukee Bucks,2024,9,0.5101,0.2213,0.2513,0.1504,0.5502
Minnesota Timberwolves,2024,20,0.5408,0.2557,0.3258,0.158,0.5343
New Orleans Pelicans,2024,3,0.4837,0.255,0.243,0.1717,0.4997
New York Knicks,2024,23,0.514,0.3039,0.3147,0.137,0.5297
Oklahoma City Thunder,2024,27,0.5259,0.2801,0.2856,0.1249,0.5052
Orlando Magic,2024,9,0.4931,0.2762,0.2974,0.1486,0.5094
Philadelphia 76ers,2024,5,0.4852,0.2666,0.2862,0.159,0.5484
Phoenix Suns,2024,5,0.5264,0.1852,0.218,0.1482,0.5124
Portland Trail Blazers,2024,3,0.491,0.2833,0.3333,0.167,0.436
Sacramento Kings,2024,6,0.4813,0.22,0.3277,0.1747,0.6038
San Antonio Spurs,2024,5,0.551,0.2802,0.259,0.1578,0.558
Toronto Raptors,2024,5,0.5356,0.222,0.3502,0.1772,0.514
Utah Jazz,2024,5,0.5252,0.3904,0.3056,0.2162,0.5194
Washington Wizards,2024,5,0.5194,0.3122,0.2736,0.2006,0.5232
Atlanta Hawks,2025,57,0.5503,0.2365,0.2712,0.1398,0.5462
Boston Celtics,2025,56,0.5521,0.2173,0.3384,0.1313,0.52
Brooklyn Nets,2025,54,0.5283,0.2814,0.3087,0.1649,0.5628
Charlotte Hornets,2025,57,0.5484,0.2624,0.3517,0.1617,0.5495
Chicago Bulls,2025,57,0.5536,0.2494,0.2765,0.1422,0.5503
Cleveland Cavaliers,2025,56,0.5526,0.2539,0.302,0.1431,0.5434
Dallas Mavericks,2025,55,0.5315,0.2825,0.2753,0.1432,0.5259
Denver Nuggets,2025,57,0.5723,0.3012,0.2805,0.131,0.5396
Detroit Pistons,2025,55,0.5468,0.3064,0.3416,0.1543,0.5165
Golden State Warriors,2025,57,0.5553,0.2485,0.2953,0.1586,0.5395
Houston Rockets,2025,54,0.5394,0.2778,0.397,0.1548,0.5336
Indiana Pacers,2025,56,0.521,0.2689,0.2714,0.144,0.5492
Los Angeles Clippers,2025,55,0.5595,0.2988,0.2862,0.1566,0.5415
Los Angeles Lakers,2025,56,0.5625,0.3298,0.2921,0.153,0.5654
Memphis Grizzlies,2025,55,0.5315,0.2696,0.3176,0.1513,0.5483
Miami Heat,2025,59,0.5286,0.2704,0.2888,0.1387,0.5335
Milwaukee Bucks,2025,54,0.5684,0.243,0.2477,0.1464,0.5453
Minnesota Timberwolves,2025,59,0.5629,0.2926,0.3069,0.1442,0.5314
New Orleans Pelicans,2025,58,0.5239,0.2785,0.3118,0.1395,0.5589
New York Knicks,2025,57,0.5471,0.247,0.3269,0.1402,0.5394
Oklahoma City Thunder,2025,58,0.5604,0.2692,0.2486,0.1256,0.516
Orlando Magic,2025,54,0.5295,0.3144,0.3199,0.1419,0.5476
Philadelphia 76ers,2025,55,0.5286,0.2841,0.3122,0.1386,0.541
Phoenix Suns,2025,56,0.5426,0.2363,0.3287,0.1514,0.5385
Portland Trail Blazers,2025,56,0.527,0.294,0.3529,0.1672,0.5467
Sacramento Kings,2025,57,0.5265,0.2691,0.2885,0.146,0.5638
San Antonio Spurs,2025,56,0.5515,0.2973,0.3036,0.1396,0.5294
Toronto Raptors,2025,59,0.535,0.2557,0.3038,0.1396,0.5371
Utah Jazz,2025,56,0.5425,0.2934,0.2978,0.1509,0.577
Washington Wizards,2025,53,0.5278,0.2503,0.2963,0.153,0.5497
