team_clean,season_start,records_count,avg_efg_pct,avg_fta_rate,avg_oreb_pct,avg_turnover_pct,avg_opp_efg_pct
Orlando Magic,2012,7,0.488,0.2373,0.2794,0.176,0.5006
Philadelphia 76ers,2012,6,0.5107,0.2592,0.2778,0.1598,0.4508
Phoenix Suns,2012,6,0.4982,0.217,0.2812,0.176,0.4892
Portland Trail Blazers,2012,7,0.4991,0.2991,0.306,0.2027,0.511
Sacramento Kings,2012,7,0.4636,0.3164,0.31,0.1607,0.49
San Antonio Spurs,2012,23,0.5066,0.2852,0.2714,0.1492,0.4795
Toronto Raptors,2012,5,0.5246,0.3416,0.3092,0.1608,0.4786
Utah Jazz,2012,7,0.4919,0.3717,0.341,0.1783,0.4881
Washington Wizards,2012,8,0.4585,0.2833,0.3591,0.17,0.5008
Atlanta Hawks,2013,13,0.4505,0.2984,0.2419,0.1786,0.5045
Boston Celtics,2013,8,0.4675,0.2923,0.3124,0.1774,0.4779
Brooklyn Nets,2013,16,0.5104,0.373,0.2924,0.1667,0.4952
Charlotte Hornets,2013,11,0.4637,0.3897,0.2721,0.1665,0.4685
Chicago Bulls,2013,12,0.4721,0.3967,0.313,0.1773,0.4433
Cleveland Cavaliers,2013,8,0.435,0.3473,0.3664,0.216,0.474
Dallas Mavericks,2013,11,0.4809,0.2122,0.2873,0.1334,0.5108
Denver Nuggets,2013,7,0.4307,0.3187,0.2829,0.1871,0.4619
Detroit Pistons,2013,7,0.4866,0.4,0.3026,0.212,0.4904
Golden State Warriors,2013,12,0.4853,0.2752,0.2848,0.1647,0.4849
Houston Rockets,2013,13,0.5138,0.3375,0.3552,0.164,0.4772
Indiana Pacers,2013,25,0.4862,0.3484,0.2637,0.1581,0.4891
Los Angeles Clippers,2013,20,0.5005,0.3562,0.282,0.1443,0.5058
Los Angeles Lakers,2013,7,0.4466,0.3391,0.2311,0.187,0.4766
Memphis Grizzlies,2013,13,0.4311,0.3448,0.2839,0.1578,0.4852
Miami Heat,2013,21,0.5378,0.3281,0.2309,0.1549,0.5319
Milwaukee Bucks,2013,6,0.476,0.4175,0.2623,0.2147,0.4457
Minnesota Timberwolves,2013,5,0.4724,0.4392,0.3394,0.1498,0.466
New Orleans Pelicans,2013,6,0.5065,0.348,0.2782,0.1995,0.5055
New York Knicks,2013,7,0.4636,0.2529,0.279,0.1481,0.5123
Oklahoma City Thunder,2013,22,0.4851,0.3453,0.2928,0.1628,0.474
Orlando Magic,2013,7,0.4851,0.2666,0.3729,0.21,0.4936
Philadelphia 76ers,2013,5,0.4208,0.3486,0.2826,0.1876,0.5228
Phoenix Suns,2013,6,0.4948,0.2407,0.3383,0.2035,0.4742
Portland Trail Blazers,2013,16,0.4772,0.3008,0.3181,0.169,0.4821
Sacramento Kings,2013,7,0.4947,0.3397,0.2727,0.173,0.4786
San Antonio Spurs,2013,23,0.5364,0.2872,0.2512,0.149,0.5045
Toronto Raptors,2013,14,0.4969,0.4135,0.3294,0.1899,0.4744
Utah Jazz,2013,8,0.4441,0.2995,0.2976,0.1812,0.4889
Washington Wizards,2013,16,0.464,0.2899,0.3082,0.1574,0.4743
Atlanta Hawks,2014,21,0.4926,0.2605,0.2484,0.1411,0.4876
Boston Celtics,2014,12,0.4781,0.316,0.2629,0.1703,0.4855
Brooklyn Nets,2014,10,0.4931,0.3174,0.2632,0.1649,0.4877
Charlotte Hornets,2014,8,0.4465,0.2814,0.2516,0.1366,0.4743
Chicago Bulls,2014,17,0.4726,0.3269,0.3154,0.1678,0.4574
Cleveland Cavaliers,2014,25,0.4874,0.3211,0.328,0.1437,0.4729
Dallas Mavericks,2014,11,0.4985,0.3177,0.3133,0.1572,0.5001
Denver Nuggets,2014,7,0.4749,0.3884,0.3071,0.1663,0.4703
Detroit Pistons,2014,7,0.4904,0.3684,0.2754,0.1667,0.4684
Golden State Warriors,2014,24,0.5315,0.3152,0.2708,0.1572,0.4608
Houston Rockets,2014,23,0.4852,0.4117,0.3117,0.1678,0.5068
Indiana Pacers,2014,7,0.4839,0.3577,0.2257,0.1717,0.4727
Los Angeles Clippers,2014,16,0.4891,0.3828,0.2439,0.1293,0.5259
Los Angeles Lakers,2014,8,0.4597,0.3035,0.2814,0.1622,0.5306
Memphis Grizzlies,2014,16,0.459,0.3098,0.2825,0.1411,0.5085
Miami Heat,2014,7,0.512,0.4019,0.277,0.1646,0.5291
Milwaukee Bucks,2014,12,0.4613,0.3056,0.2969,0.1711,0.4706
Minnesota Timberwolves,2014,6,0.4765,0.3278,0.3193,0.1435,0.494
New Orleans Pelicans,2014,7,0.473,0.2757,0.2839,0.1387,0.4807
New York Knicks,2014,5,0.4732,0.223,0.3148,0.1686,0.5176
Oklahoma City Thunder,2014,7,0.4696,0.3847,0.3,0.1787,0.5339
Orlando Magic,2014,6,0.4733,0.2423,0.292,0.1922,0.4665
Philadelphia 76ers,2014,8,0.4669,0.3718,0.2675,0.208,0.476
Phoenix Suns,2014,5,0.5108,0.3722,0.269,0.1864,0.4912
Portland Trail Blazers,2014,10,0.4765,0.2842,0.2603,0.1655,0.4795
Sacramento Kings,2014,5,0.506,0.5284,0.31,0.1832,0.5208
San Antonio Spurs,2014,10,0.5026,0.3336,0.2678,0.1709,0.5231
Toronto Raptors,2014,9,0.469,0.3258,0.2637,0.1616,0.5029
Utah Jazz,2014,7,0.5106,0.4074,0.302,0.1996,0.4489
Washington Wizards,2014,14,0.4763,0.3288,0.2884,0.176,0.4832
Atlanta Hawks,2015,14,0.4755,0.2876,0.2478,0.159,0.4749
Boston Celtics,2015,9,0.454,0.2594,0.2808,0.1524,0.4502
Brooklyn Nets,2015,5,0.465,0.374,0.2736,0.1878,0.49
Charlotte Hornets,2015,14,0.4574,0.3458,0.217,0.1233,0.4801
Chicago Bulls,2015,7,0.4779,0.2784,0.3119,0.153,0.481
Cleveland Cavaliers,2015,26,0.5299,0.2826,0.2863,0.1465,0.5047
Dallas Mavericks,2015,10,0.4464,0.3107,0.2367,0.1527,0.5099
Denver Nuggets,2015,7,0.4797,0.3161,0.2976,0.1719,0.4666
Detroit Pistons,2015,12,0.522,0.2815,0.2818,0.1467,0.5028
Golden State Warriors,2015,25,0.5142,0.2938,0.2762,0.1488,0.4934
Houston Rockets,2015,12,0.4513,0.3242,0.3392,0.1733,0.5385
Indiana Pacers,2015,10,0.4735,0.3834,0.2675,0.1414,0.4548
Los Angeles Clippers,2015,10,0.4805,0.3047,0.2382,0.1373,0.4738
Los Angeles Lakers,2015,6,0.4652,0.3798,0.2808,0.1317,0.4935
Memphis Grizzlies,2015,7,0.4297,0.2931,0.3026,0.1963,0.4744
Miami Heat,2015,21,0.4883,0.3071,0.2741,0.1485,0.4527
Milwaukee Bucks,2015,5,0.483,0.3712,0.2904,0.1726,0.4818
Minnesota Timberwolves,2015,4,0.4262,0.4387,0.2642,0.1842,0.565
New Orleans Pelicans,2015,5,0.4504,0.363,0.2768,0.1246,0.5066
New York Knicks,2015,3,0.4583,0.2337,0.193,0.1627,0.452
Oklahoma City Thunder,2015,22,0.5165,0.3124,0.3439,0.1587,0.4839
Orlando Magic,2015,6,0.4727,0.248,0.304,0.1562,0.4608
Philadelphia 76ers,2015,7,0.4483,0.3873,0.2467,0.2031,0.4943
Phoenix Suns,2015,6,0.4858,0.2423,0.3035,0.172,0.4543
Portland Trail Blazers,2015,17,0.4892,0.2872,0.2962,0.1481,0.4942
Sacramento Kings,2015,4,0.4985,0.369,0.292,0.1732,0.483
San Antonio Spurs,2015,15,0.5145,0.2685,0.252,0.1405,0.4704
Toronto Raptors,2015,25,0.4562,0.3316,0.3129,0.1493,0.5076
Utah Jazz,2015,7,0.4693,0.435,0.2663,0.1654,0.4781
Washington Wizards,2015,4,0.5208,0.3203,0.245,0.174,0.4698
Atlanta Hawks,2016,11,0.4823,0.2755,0.2972,0.165,0.4657
Boston Celtics,2016,23,0.5232,0.2655,0.2651,0.1518,0.5234
Brooklyn Nets,2016,6,0.4902,0.3487,0.1923,0.1715,0.5313
Charlotte Hornets,2016,5,0.4042,0.3256,0.2676,0.1606,0.4926
Chicago Bulls,2016,10,0.4647,0.2608,0.3222,0.1682,0.5086
Cleveland Cavaliers,2016,24,0.5622,0.3169,0.2479,0.1398,0.5191
Dallas Mavericks,2016,6,0.4443,0.2262,0.2657,0.157,0.5027
Denver Nuggets,2016,8,0.4753,0.3805,0.3187,0.1768,0.4893
Detroit Pistons,2016,6,0.4885,0.2613,0.2795,0.1748,0.4603
Golden State Warriors,2016,21,0.5649,0.313,0.2657,0.1459,0.4866
Houston Rockets,2016,17,0.5142,0.312,0.2846,0.1464,0.4969
Indiana Pacers,2016,10,0.5152,0.2461,0.2786,0.1341,0.5259
Los Angeles Clippers,2016,10,0.5025,0.3243,0.2391,0.1637,0.5482
Los Angeles Lakers,2016,7,0.5017,0.3426,0.2493,0.1559,0.4997
Memphis Grizzlies,2016,11,0.489,0.3481,0.2455,0.132,0.5257
Miami Heat,2016,6,0.5188,0.2527,0.2388,0.1558,0.4543
Milwaukee Bucks,2016,10,0.4728,0.2931,0.2612,0.1668,0.5046
Minnesota Timberwolves,2016,6,0.4695,0.3152,0.29,0.1702,0.4688
New Orleans Pelicans,2016,6,0.5015,0.325,0.2357,0.1555,0.4925
New York Knicks,2016,6,0.5208,0.2477,0.3135,0.1777,0.5433
Oklahoma City Thunder,2016,8,0.4831,0.2988,0.3009,0.1606,0.4813
Orlando Magic,2016,7,0.4867,0.3183,0.2714,0.1914,0.5137
Philadelphia 76ers,2016,7,0.4427,0.3539,0.26,0.2003,0.5071
Phoenix Suns,2016,5,0.4362,0.4312,0.32,0.1862,0.4708
Portland Trail Blazers,2016,10,0.4806,0.2771,0.2591,0.1592,0.5148
Sacramento Kings,2016,3,0.576,0.3977,0.2457,0.214,0.529
San Antonio Spurs,2016,20,0.5002,0.2638,0.3082,0.1487,0.5158
Toronto Raptors,2016,13,0.475,0.2952,0.2576,0.1413,0.5295
Utah Jazz,2016,15,0.5042,0.3477,0.2317,0.1482,0.5043
Washington Wizards,2016,18,0.5118,0.2769,0.2936,0.1366,0.5126
Atlanta Hawks,2017,5,0.4714,0.3064,0.1974,0.181,0.5232
Boston Celtics,2017,23,0.5001,0.2793,0.249,0.1251,0.5153
Brooklyn Nets,2017,4,0.5335,0.306,0.216,0.1715,0.454
Charlotte Hornets,2017,5,0.4936,0.2736,0.256,0.1638,0.528
