team_clean,season_start,games_played,wins,losses,win_pct,avg_points_scored,avg_points_allowed,avg_point_differential
Minnesota Timberwolves,2025,70,42,28,0.6,118.71,114.31,4.4
New Orleans Pelicans,2025,69,22,47,0.319,115.54,119.77,-4.23
New York Knicks,2025,70,46,24,0.657,116.5,110.06,6.44
Oklahoma City Thunder,2025,71,54,17,0.761,117.86,107.72,10.14
Orlando Magic,2025,66,38,28,0.576,115.55,113.82,1.73
Philadelphia 76ers,2025,67,35,32,0.522,115.04,115.87,-0.82
Phoenix Suns,2025,67,39,28,0.582,112.22,110.87,1.36
Portland Trail Blazers,2025,68,31,37,0.456,115.49,118.53,-3.04
Sacramento Kings,2025,68,15,53,0.221,110.54,121.21,-10.66
San Antonio Spurs,2025,69,51,18,0.739,118.57,111.26,7.3
Toronto Raptors,2025,68,39,29,0.574,113.6,112.07,1.53
Utah Jazz,2025,68,20,48,0.294,117.69,125.29,-7.6
Washington Wizards,2025,65,17,48,0.262,112.11,122.51,-10.4
