team_clean,season_start,games_played,wins,losses,win_pct,avg_points_scored,avg_points_allowed,avg_point_differential
Los Angeles Clippers,2017,87,44,43,0.506,108.76,108.86,-0.1
Los Angeles Lakers,2017,87,37,50,0.425,107.56,109.22,-1.66
Memphis Grizzlies,2017,87,25,62,0.287,99.61,104.93,-5.32
Miami Heat,2017,93,48,45,0.516,103.14,103.68,-0.54
Milwaukee Bucks,2017,93,48,45,0.516,105.83,106.45,-0.62
Minnesota Timberwolves,2017,89,49,40,0.551,109.09,107.71,1.38
New Orleans Pelicans,2017,95,54,41,0.568,111.16,110.56,0.6
New York Knicks,2017,87,29,58,0.333,104.07,108.29,-4.22
Oklahoma City Thunder,2017,91,52,39,0.571,107.1,104.15,2.95
Orlando Magic,2017,88,28,60,0.318,103.1,107.44,-4.34
Philadelphia 76ers,2017,97,59,38,0.608,109.6,105.42,4.18
Phoenix Suns,2017,86,22,64,0.256,104.0,113.34,-9.34
Portland Trail Blazers,2017,91,53,38,0.582,105.99,103.45,2.54
Sacramento Kings,2017,88,28,60,0.318,98.27,105.44,-7.17
San Antonio Spurs,2017,92,51,41,0.554,102.64,100.15,2.49
Toronto Raptors,2017,97,66,31,0.68,111.09,104.64,6.45
Utah Jazz,2017,96,56,40,0.583,104.2,100.41,3.79
Washington Wizards,2017,92,48,44,0.522,106.7,106.12,0.58
Atlanta Hawks,2018,87,31,56,0.356,113.3,119.18,-5.89
Boston Celtics,2018,93,54,39,0.581,111.1,107.52,3.58
