team_clean,season_start,games_played,wins,losses,win_pct,avg_points_scored,avg_points_allowed,avg_point_differential,avg_off_rating,avg_def_rating,avg_net_rating,avg_true_shooting_pct,avg_effective_fg_pct,avg_efg_pct,avg_fta_rate,avg_oreb_pct,avg_turnover_pct,avg_opp_efg_pct,home_games,home_wins,avg_home_points_scored,avg_home_points_allowed,away_games,away_wins,avg_away_points_scored,avg_away_points_allowed
Utah Jazz,2010,90,47,43,0.522,99.34,100.29,-0.94,105.98,97.08,8.88,0.561,0.5041,0.491,0.4384,0.302,0.1922,0.4678,44,24,100.7,99.36,46,23,98.04,101.17
Washington Wizards,2010,89,26,63,0.292,97.12,103.89,-6.76,97.7,96.5,1.17,0.5144,0.4857,0.4857,0.2807,0.2787,0.1816,0.4747,43,21,98.26,100.05,46,5,96.07,107.48
Atlanta Hawks,2011,74,43,31,0.581,95.09,92.2,2.89,91.95,93.47,-1.52,0.4755,0.4328,0.4324,0.2378,0.3056,0.1774,0.4424,37,26,97.62,92.73,37,17,92.57,91.68
Boston Celtics,2011,88,52,36,0.591,91.01,88.8,2.22,98.47,97.12,1.35,0.5129,0.4634,0.463,0.2956,0.2608,0.1481,0.461,44,33,91.55,84.41,44,19,90.48,93.18
Brooklyn Nets,2011,68,22,46,0.324,92.78,98.81,-6.03,83.3,91.4,-8.05,0.477,0.454,0.454,0.3515,0.2885,0.2375,0.414,34,9,93.88,100.5,34,13,91.68,97.12
Charlotte Hornets,2011,68,8,60,0.118,86.66,100.38,-13.72,85.3,93.2,-7.9,0.457,0.4045,0.4045,0.349,0.283,0.1975,0.4095,34,5,86.88,98.82,34,3,86.44,101.94
Chicago Bulls,2011,74,54,20,0.73,95.31,87.92,7.39,96.56,96.54,0.01,0.4984,0.4662,0.4577,0.2567,0.323,0.1737,0.4186,37,29,95.43,87.89,37,25,95.19,87.95
Cleveland Cavaliers,2011,68,22,46,0.324,92.94,99.88,-6.94,90.95,89.55,1.4,0.4835,0.4205,0.4205,0.596,0.3015,0.197,0.4225,34,11,92.59,99.32,34,11,93.29,100.44
Dallas Mavericks,2011,72,36,36,0.5,95.42,95.15,0.26,98.2,106.15,-7.97,0.5102,0.4507,0.4548,0.3074,0.2638,0.164,0.5086,36,23,96.69,93.53,36,13,94.14,96.78
Denver Nuggets,2011,75,43,32,0.573,103.81,100.68,3.13,107.71,103.46,4.27,0.5084,0.4717,0.4637,0.2746,0.3463,0.1144,0.4546,37,23,103.49,98.84,38,20,104.13,102.47
Detroit Pistons,2011,68,26,42,0.382,90.79,95.49,-4.69,89.55,90.95,-1.4,0.5015,0.4225,0.4225,0.463,0.2955,0.228,0.4205,34,18,92.76,93.41,34,8,88.82,97.56
Golden State Warriors,2011,68,24,44,0.353,97.81,101.01,-3.21,100.35,96.05,4.3,0.506,0.4615,0.4615,0.3145,0.332,0.187,0.533,34,13,99.15,100.94,34,11,96.47,101.09
Houston Rockets,2011,68,35,33,0.515,98.09,97.69,0.4,101.55,95.55,6.0,0.534,0.484,0.484,0.3515,0.3125,0.191,0.469,34,23,100.03,94.97,34,12,96.15,100.41
Indiana Pacers,2011,79,48,31,0.608,96.48,93.72,2.76,101.14,100.7,0.45,0.4972,0.4489,0.4397,0.314,0.3426,0.1696,0.4727,40,26,98.3,92.58,39,22,94.62,94.9
Los Angeles Clippers,2011,79,46,33,0.582,96.96,95.19,1.77,103.6,105.87,-2.27,0.5411,0.5085,0.5085,0.3229,0.2638,0.152,0.5015,39,27,98.46,94.18,40,19,95.5,96.17
Los Angeles Lakers,2011,80,46,34,0.575,96.85,96.6,0.25,104.36,109.76,-5.41,0.5171,0.4691,0.4688,0.3126,0.354,0.1532,0.478,40,30,98.87,93.75,40,16,94.82,99.45
Memphis Grizzlies,2011,75,44,31,0.587,94.39,92.84,1.55,100.17,101.88,-1.72,0.5069,0.4519,0.4504,0.4233,0.362,0.1881,0.4847,38,28,97.76,92.13,37,16,90.92,93.57
Miami Heat,2011,91,63,28,0.692,98.43,91.98,6.45,109.0,100.65,8.33,0.5575,0.5086,0.5088,0.3831,0.2877,0.142,0.4734,47,40,100.87,89.38,44,23,95.82,94.75
Milwaukee Bucks,2011,68,31,37,0.456,98.75,98.81,-0.06,93.9,106.05,-12.1,0.47,0.451,0.451,0.3015,0.2735,0.1295,0.514,34,17,99.97,99.53,34,14,97.53,98.09
Minnesota Timberwolves,2011,68,28,40,0.412,98.03,99.84,-1.81,106.05,93.9,12.1,0.5755,0.514,0.514,0.4035,0.279,0.188,0.451,34,14,96.47,98.06,34,14,99.59,101.62
New Orleans Pelicans,2011,68,23,45,0.338,89.82,93.15,-3.32,104.9,93.4,11.5,0.5205,0.465,0.465,0.382,0.3365,0.1425,0.465,34,12,89.44,91.68,34,11,90.21,94.62
