team_clean,season_start,home_games,home_wins,avg_home_points_scored,avg_home_points_allowed,away_games,away_wins,avg_away_points_scored,avg_away_points_allowed
Denver Nuggets,2022,54,45,117.26,107.98,53,27,113.17,114.51
Detroit Pistons,2022,43,9,111.98,118.6,43,8,107.84,118.23
Golden State Warriors,2022,51,39,119.12,111.37,48,13,117.0,121.52
Houston Rockets,2022,43,16,111.42,114.35,43,9,110.98,121.77
Indiana Pacers,2022,43,21,118.58,119.33,43,16,113.84,118.95
Los Angeles Clippers,2022,46,24,112.61,111.24,44,22,114.68,116.09
Los Angeles Lakers,2022,54,30,115.43,112.07,51,23,115.53,119.22
Memphis Grizzlies,2022,46,38,118.67,108.8,47,18,113.0,116.21
Miami Heat,2022,56,36,110.61,108.79,56,26,108.05,108.87
Milwaukee Bucks,2022,47,33,118.32,113.28,45,26,114.38,114.87
Minnesota Timberwolves,2022,45,24,115.56,114.47,49,24,114.63,115.76
New Orleans Pelicans,2022,44,29,114.93,110.05,44,17,113.84,114.95
New York Knicks,2022,49,30,116.04,110.61,48,26,112.13,111.65
Oklahoma City Thunder,2022,42,24,120.24,115.21,46,20,113.96,116.37
Orlando Magic,2022,43,22,114.19,114.35,44,16,108.14,112.61
Philadelphia 76ers,2022,48,34,112.81,108.46,49,31,114.55,111.1
Phoenix Suns,2022,48,32,114.6,110.44,48,20,112.54,113.67
Portland Trail Blazers,2022,42,17,115.26,119.29,44,16,110.18,115.8
Sacramento Kings,2022,47,27,122.83,118.64,46,28,117.17,114.67
San Antonio Spurs,2022,44,14,114.23,120.66,43,9,110.65,124.47
Toronto Raptors,2022,45,29,114.29,109.76,43,15,111.4,113.23
Utah Jazz,2022,43,23,117.23,116.7,43,15,115.44,118.6
Washington Wizards,2022,41,19,114.24,114.61,44,17,111.25,113.52
Atlanta Hawks,2023,44,24,120.89,119.68,44,15,114.52,120.39
Boston Celtics,2023,54,48,120.8,106.56,52,36,115.65,108.6
Brooklyn Nets,2023,42,20,112.4,111.36,43,13,108.86,115.58
Charlotte Hornets,2023,43,12,108.09,116.37,43,10,104.86,116.95
Chicago Bulls,2023,45,22,112.09,111.96,44,19,112.0,115.43
Cleveland Cavaliers,2023,48,30,112.44,108.77,49,23,108.82,109.92
Dallas Mavericks,2023,53,32,116.17,112.28,54,32,113.83,113.43
Denver Nuggets,2023,49,38,115.9,107.65,50,29,110.52,110.22
Detroit Pistons,2023,41,7,110.71,118.63,45,9,109.93,119.51
Golden State Warriors,2023,44,23,117.61,116.68,44,27,117.82,113.91
Houston Rockets,2023,43,29,116.0,110.33,44,16,112.3,114.52
Indiana Pacers,2023,51,34,123.53,116.25,53,23,118.96,121.45
Los Angeles Clippers,2023,48,28,113.08,110.98,44,27,115.0,112.09
Los Angeles Lakers,2023,50,32,118.12,114.58,45,20,115.69,119.36
Memphis Grizzlies,2023,43,11,104.58,111.37,44,18,108.11,114.66
Miami Heat,2023,47,25,111.3,109.7,47,25,107.13,107.17
Milwaukee Bucks,2023,47,35,120.21,113.87,46,19,115.37,117.7
Minnesota Timberwolves,2023,50,34,111.1,103.66,52,35,113.06,108.02
New Orleans Pelicans,2023,46,22,112.43,111.09,46,29,113.78,109.5
New York Knicks,2023,51,33,111.63,106.88,48,25,113.06,111.67
Oklahoma City Thunder,2023,50,38,121.44,109.74,47,27,115.62,113.43
Orlando Magic,2023,45,32,112.09,103.96,47,20,107.19,110.62
Philadelphia 76ers,2023,47,28,114.72,110.3,46,24,113.33,112.35
Phoenix Suns,2023,45,26,115.51,113.22,46,27,116.22,113.41
Portland Trail Blazers,2023,42,11,108.12,114.86,43,10,105.37,116.63
Sacramento Kings,2023,44,26,118.39,115.8,45,22,113.58,113.11
San Antonio Spurs,2023,44,14,113.86,117.27,43,11,110.49,118.81
Toronto Raptors,2023,43,16,110.95,115.6,42,12,114.14,120.69
Utah Jazz,2023,42,22,119.98,118.17,44,11,111.25,122.05
Washington Wizards,2023,42,8,112.48,121.19,43,9,114.65,123.98
Atlanta Hawks,2024,42,22,118.26,119.88,45,19,117.04,118.89
Boston Celtics,2024,50,35,116.64,106.26,48,36,114.04,106.29
Brooklyn Nets,2024,43,13,104.6,112.14,43,14,106.16,112.09
Charlotte Hornets,2024,43,13,106.53,111.74,42,7,104.98,116.31
Chicago Bulls,2024,45,20,116.76,119.24,43,22,118.7,119.49
Cleveland Cavaliers,2024,48,36,121.58,111.83,47,33,121.19,113.0
Dallas Mavericks,2024,43,23,113.91,110.84,45,18,113.67,118.76
Denver Nuggets,2024,51,31,120.16,115.33,50,27,116.38,117.44
Detroit Pistons,2024,47,24,114.11,112.13,46,25,114.67,112.59
Golden State Warriors,2024,50,30,112.24,108.86,51,30,112.8,109.37
Houston Rockets,2024,47,33,113.68,106.79,45,24,114.2,112.33
Indiana Pacers,2024,54,38,117.87,113.43,55,29,115.98,115.95
Los Angeles Clippers,2024,48,35,113.35,104.54,45,21,110.64,111.22
Los Angeles Lakers,2024,45,31,113.42,110.53,46,21,110.89,114.37
Memphis Grizzlies,2024,46,27,121.89,115.7,47,25,118.7,118.15
Miami Heat,2024,46,22,110.63,111.04,47,21,109.72,110.0
Milwaukee Bucks,2024,46,30,117.57,112.63,45,20,110.78,113.2
Minnesota Timberwolves,2024,50,31,116.4,108.92,52,29,111.38,109.65
New Orleans Pelicans,2024,41,15,111.0,116.22,43,7,108.16,121.53
New York Knicks,2024,53,34,116.42,109.89,52,31,112.83,112.35
Oklahoma City Thunder,2024,58,48,120.88,105.76,52,39,116.19,108.79
Orlando Magic,2024,45,25,105.73,103.09,46,18,101.61,105.43
Philadelphia 76ers,2024,42,13,109.45,115.26,45,13,109.13,115.91
Phoenix Suns,2024,43,24,113.7,114.44,44,15,113.23,118.27
Portland Trail Blazers,2024,42,23,113.0,112.62,43,15,108.72,113.47
Sacramento Kings,2024,44,20,115.05,114.77,44,20,114.59,115.61
San Antonio Spurs,2024,44,22,114.09,114.86,42,14,111.24,115.5
Toronto Raptors,2024,43,20,112.37,114.37,44,13,109.66,115.48
Utah Jazz,2024,43,11,108.53,117.07,44,8,112.09,122.14
Washington Wizards,2024,43,10,109.77,121.56,44,10,103.16,116.05
Atlanta Hawks,2025,33,16,116.64,117.06,35,19,118.69,118.06
Boston Celtics,2025,33,23,115.15,107.55,34,22,114.41,106.41
Brooklyn Nets,2025,32,9,111.53,114.72,35,9,103.94,115.94
Charlotte Hornets,2025,33,15,114.21,113.09,36,19,118.56,113.11
Chicago Bulls,2025,37,18,114.97,117.41,31,11,116.9,122.55
Cleveland Cavaliers,2025,34,22,118.56,113.47,33,18,119.03,116.82
Dallas Mavericks,2025,35,15,114.31,115.91,32,9,112.31,117.47
Denver Nuggets,2025,32,18,117.56,115.69,37,24,120.92,115.95
Detroit Pistons,2025,33,25,117.15,107.03,33,22,116.15,112.36
Golden State Warriors,2025,35,21,117.49,114.46,33,14,112.52,113.3
Houston Rockets,2025,31,23,114.61,107.81,35,20,116.34,111.91
Indiana Pacers,2025,34,11,113.94,118.53,33,6,109.33,121.61
Los Angeles Clippers,2025,31,17,114.16,109.94,36,17,111.25,112.61
Los Angeles Lakers,2025,35,20,116.37,115.86,34,19,113.44,114.44
Memphis Grizzlies,2025,34,12,116.53,118.29,33,12,115.06,118.91
Miami Heat,2025,35,20,120.71,116.77,35,15,117.94,117.09
Milwaukee Bucks,2025,33,16,114.18,116.97,33,14,109.0,113.45
Minnesota Timberwolves,2025,36,23,115.83,110.44,34,19,121.76,118.41
New Orleans Pelicans,2025,35,13,117.63,119.37,34,9,113.38,120.18
New York Knicks,2025,37,27,117.05,108.81,33,19,115.88,111.45
Oklahoma City Thunder,2025,35,28,117.63,106.37,36,26,118.08,109.03
Orlando Magic,2025,34,22,115.76,113.41,32,16,115.31,114.25
Philadelphia 76ers,2025,36,18,114.25,117.06,31,17,115.97,114.48
Phoenix Suns,2025,36,22,111.22,108.19,31,17,113.39,113.97
Portland Trail Blazers,2025,33,17,117.94,118.79,35,14,113.17,118.29
Sacramento Kings,2025,33,9,111.12,119.39,35,6,110.0,122.91
San Antonio Spurs,2025,32,26,120.09,110.62,37,25,117.24,111.81
Toronto Raptors,2025,35,18,112.6,112.4,33,21,114.67,111.73
Utah Jazz,2025,34,12,120.85,127.24,34,8,114.53,123.35
Washington Wizards,2025,34,11,114.06,122.76,31,6,109.97,122.23
